"richness","abundance","rf_sd","rf_mean"
3,3606,0.419150327810449,2.36567905550364
3,8083,0.415811337366036,2.35846741154814
3,11700,0.423224054224462,2.34495700001185
3,18166,0.42666876948917,2.34746948179489
5,8307,0.63125681741788,3.63237529395084
5,11136,0.621514793139032,3.64781318443153
5,12076,0.621066381153529,3.6475552086048
5,12262,0.621066381153529,3.6475552086048
5,17174,0.625007889471676,3.66840385148346
6,1946,0.697582562289022,4.3380285009018
6,8557,0.701466837293383,4.32452206372156
6,14474,0.707591351773703,4.32969526133119
7,2583,0.790296571186436,4.98684687189714
7,4207,0.787713521185262,4.99763294733046
9,5839,0.871856915804008,6.11637320804498
9,15015,0.889675255515473,6.11482572112177
10,7941,0.987212038642917,6.96198873832642
11,1866,1.06968296172844,7.57613100501289
11,3447,1.06737455989909,7.57705411353353
11,15583,1.0552393347061,7.59855399514675
11,16198,1.0552393347061,7.59219611221835
13,347,1.16227900345549,8.9168171901176
13,13311,1.14854600684392,8.93248738446359
13,13991,1.1492770308106,8.94004221750382
13,15796,1.1953336338391,8.93586026920289
14,1396,1.24199164683197,9.53050401447399
14,2014,1.24199164683197,9.53050401447399
14,8693,1.19370737030782,9.52018246557316
14,12845,1.21765404457125,9.52044603898484
15,1384,1.31260750644081,10.1816215972554
15,5074,1.27753631936626,10.2611811364491
15,18892,1.24024989106342,10.2291829969973
16,2598,1.2858275745104,10.8931678989324
16,13726,1.28317213605061,10.8808296223994
17,6219,1.3970272013527,11.5076654300874
17,9296,1.38360505142559,11.5095757778504
17,16821,1.3554459352428,11.6020454344834
18,1228,1.42266707623146,12.0521761026892
18,6337,1.4097910383188,12.0538445638804
18,7840,1.40430839680665,12.0542792542214
19,1904,1.450949164781,12.818305492716
19,7475,1.44878273826975,12.818305492716
19,8851,1.43371221386119,12.8032173199806
19,13962,1.44212660059703,12.7687105945629
20,5875,1.53496827934166,13.5221000967264
20,7559,1.53244683991183,13.4708848662736
20,10243,1.53106822881499,13.4510766191866
20,13832,1.5213469595384,13.5122030028757
20,18295,1.49997547350313,13.5346911720009
22,4635,1.57850186549276,14.791334165485
22,8924,1.5538267231814,14.8008981154876
22,9164,1.55393246194081,14.8008981154876
22,10652,1.54869119181842,14.8050052576587
22,15725,1.5313978543475,14.8447931067905
22,16256,1.5218599946206,14.8447931067905
22,19128,1.55471560859026,14.8124739667906
23,4607,1.5749431284649,15.4142688350029
23,9329,1.58052480458277,15.4439950542082
23,18238,1.56763167138902,15.477947826559
25,2244,1.78559741900276,16.6318132063948
26,6774,1.77479774317132,17.2856597230778
26,9708,1.74654367555009,17.2998584521463
26,12537,1.70631969912292,17.3409675158465
26,17697,1.721497551253,17.37445345608
27,4324,1.83452969387089,17.9178194428162
27,8067,1.7945362094611,18.068732208203
27,16545,1.78423920888457,18.0427551534895
27,17071,1.78936355113678,18.0427551534895
28,9046,1.82410474448736,18.6616302518168
28,19882,1.84213813437702,18.6796282725737
29,7616,1.82009350461983,19.3504527376112
29,15535,1.84756913389847,19.3292670804983
29,18518,1.84984953009471,19.4012625369784
30,3293,1.98788304398437,19.8031158605436
31,4417,1.98633368446663,20.5276012980671
31,12363,1.90668529174448,20.7216797060279
31,16612,1.92321673004391,20.6612879565428
