"","richness","abundance","hill1","percentile"
"1",3,3606,NA,NA
"2",3,8083,1.60884574016282,0.032
"3",3,11700,NA,NA
"4",3,18166,NA,NA
"5",5,8307,1.95208225465495,0.001
"6",5,11136,NA,NA
"7",5,12076,NA,NA
"8",5,12262,NA,NA
"9",5,17174,NA,NA
"10",6,1946,2.30459722735029,0.001
"11",6,8557,2.12921596755161,0.001
"12",6,14474,NA,NA
"13",7,2583,2.49434619896689,0.001
"14",7,4207,2.41350581387199,0
"15",9,5839,2.77525621136385,0.001
"16",9,15015,NA,NA
"17",10,7941,2.9168542776812,0
"18",11,1866,3.59309133733235,0
"19",11,3447,3.37146526051378,0
"20",11,15583,2.97484404747787,0
"21",11,16198,2.96747415849177,0
"22",13,347,5.35239562243336,0.001
"23",13,13311,3.40375038673841,0
"24",13,13991,3.39116168308622,0
"25",13,15796,3.35993363876946,0
"26",14,1396,4.61302361169733,0
"27",14,2014,4.3788677607718,0
"28",14,8693,3.74799420729448,0
"29",14,12845,NA,NA
"30",15,1384,4.94204863438807,0
"31",15,5074,4.19475511695177,0
"32",15,18892,3.70343703236981,0
"33",16,2598,4.82274671389019,0
"34",16,13726,4.01495813614812,0
"35",17,6219,4.59569544639477,0
"36",17,9296,4.39732190674357,0
"37",17,16821,4.1541596309981,0
"38",18,1228,6.03661369083866,0
"39",18,6337,4.8315212379545,0
"40",18,7840,4.71831851363703,0
"41",19,1904,5.96357528278304,0
"42",19,7475,4.99035473659532,0
"43",19,8851,4.89615430584429,0
"44",19,13962,4.66722161883117,0
"45",20,5875,5.38120918598312,0
"46",20,7559,5.23031384334009,0
"47",20,10243,5.05387379496769,0
"48",20,13832,4.89459817573858,0
"49",20,18295,4.75617349507009,0
"50",22,4635,6.09834231676202,0
"51",22,8924,5.61488471852065,0
"52",22,9164,5.59212211183525,0
"53",22,10652,5.50562330377927,0
"54",22,15725,5.27601068395398,0
"55",22,16256,5.25804151460994,0
"56",22,19128,5.16935515742082,0
"57",23,4607,6.37405951957963,0
"58",23,9329,5.8363425517172,0
"59",23,18238,5.41367524705108,0
"60",25,2244,7.73566863802583,0
"61",26,6774,6.86827199782813,0
"62",26,9708,6.5634701778944,0
"63",26,12537,6.36317604529375,0
"64",26,17697,6.11894377054068,0
"65",27,4324,7.58644366179234,0
"66",27,8067,6.9908841578947,0
"67",27,16545,6.39062196996022,0
"68",27,17071,6.36976151202111,0
"69",28,9046,7.13066903360628,0
"70",28,19882,6.49012777154546,0
"71",29,7616,7.56458831973035,0
"72",29,15535,6.9221325898389,0
"73",29,18518,6.77917309361908,0
"74",30,3293,8.85162043403043,0
"75",31,4417,8.76575837500317,0
"76",31,12363,7.60620238211559,0
"77",31,16612,7.33501202671367,0
"78",32,19680,7.42656529459086,0
"79",33,516,14.074093299106,0
"80",35,11252,8.74336696033149,0
"81",35,11453,8.71492234715567,0
"82",35,17572,8.25498576131525,0
"83",36,3667,10.5811086023785,0
"84",36,14579,8.70421483492013,0
"85",37,1801,12.3271234011484,0
"86",37,2188,11.9955275786642,0
"87",37,10913,9.29997297498409,0
"88",37,14211,8.98117444788547,0
"89",39,1728,13.2166874335028,0
"90",39,2073,12.8269758872502,0
"91",39,3558,11.6405821083075,0
"92",40,336,19.8600486095552,0.018
"93",40,5884,11.0440964728707,0
"94",41,15824,9.87182205468439,0
"95",42,5600,11.7431132066121,0
"96",42,16161,10.0935596305249,0
"97",43,13765,10.5809828531389,0
"98",43,14401,10.5228201623166,0
"99",43,18575,10.1687562717797,0
"100",44,6804,11.9971064430584,0
"101",46,5237,13.1293030488921,0
"102",46,7170,12.4787035380683,0
"103",46,14215,11.3229067364518,0
"104",46,14378,11.303348182544,0
"105",46,15666,11.1714394748166,0
"106",47,1398,17.1330129964082,0
"107",47,9515,12.261431304305,0
"108",48,1343,17.6952019988613,0
"109",48,3795,14.5013183764748,0
"110",49,2729,15.759346727271,0
"111",49,12174,12.3691255945065,0
"112",49,12509,12.32342073375,0
"113",49,13869,12.1451359816547,0
"114",50,2507,16.4101235696614,0
"115",50,5576,14.2658302213446,0
"116",50,16825,12.0976484581545,0
"117",51,4335,15.1923201235861,0
"118",51,4758,14.9514565782795,0
"119",52,16868,12.6191212401188,0
"120",53,2615,17.4516835829435,0
"121",54,4819,15.8965953198608,0
"122",54,6457,15.1434192196819,0
"123",56,4176,16.9810003231778,0
"124",56,10097,14.7135953468108,0
"125",57,14496,14.2385421507533,0
"126",58,2537,19.3662556398126,0
"127",58,2985,18.824653902514,0
"128",58,11196,15.0616368099316,0
"129",59,1965,20.8221692637572,0
"130",59,18017,14.3315022334062,0
"131",60,7354,16.7099734681996,0
"132",60,7755,16.5584274708701,0
"133",60,16779,14.7472747802418,0
"134",61,16807,15.0028501467753,0
"135",61,17623,14.9208989432833,0
"136",63,7590,17.5521181363345,0
"137",64,8124,17.6537494012619,0
"138",64,11357,16.7674359408162,0
"139",65,569,31.554423473814,0.045
"140",66,13443,16.9017388379205,0
"141",67,9784,18.0335628004997,0
"142",68,6068,19.8319436996423,0
"143",68,6426,19.644344700745,0
"144",68,13268,17.5211052653634,0
"145",68,15295,17.1424231863359,0
"146",69,6539,19.9412702610431,0
"147",69,8032,19.2297283499412,0
"148",69,8627,19.0259587750378,0
"149",70,1412,27.438233289565,0
"150",71,2870,23.9320289765885,0
"151",72,10060,19.455969263596,0
"152",72,18236,17.790914798702,0
"153",74,9119,20.4069709849297,0
"154",74,9765,20.1620364761125,0
"155",74,12459,19.4109404890868,0
"156",74,19829,18.124184928724,0
"157",75,1415,29.8282012862308,0.003
"158",75,7262,21.4902521597157,0
"159",75,13585,19.4487401256333,0
"160",76,622,37.46252798244,0.268
"161",76,3614,24.7254180528024,0
"162",76,12412,20.025778159771,0
"163",77,19722,18.9515869458573,0
"164",78,6804,22.7449162148742,0
"165",79,3663,25.9223043665294,0
"166",79,5495,23.941366614276,0
"167",79,19593,19.5138411612306,0
"168",80,1204,33.5282266782493,0.074
"169",80,3512,26.422966782195,0
"170",80,18111,20.0173745778163,0
"171",81,1203,33.9849861858161,0.063
"172",81,1384,32.7214797106514,0.024
"173",81,12060,21.579377315552,0
"174",82,7739,23.5562778308541,0
"175",82,8817,23.0274379942126,0
"176",82,18322,20.52986290317,0
"177",83,274,54.0321375975589,0.961
"178",83,15466,21.344055537621,0
"179",84,12055,22.4938613201708,0
"180",85,291,54.9170322907357,0.959
"181",85,13244,22.457320333887,0
"182",85,15094,21.9859313662712,0
"183",85,17249,21.5643376608894,0
"184",86,3660,28.5226359001893,0
"185",86,4986,26.8972690790027,0
"186",86,18649,21.590342795313,0
"187",87,3046,30.0254000349019,0
"188",87,12231,23.3370035270004,0
"189",87,19782,21.68229994307,0
"190",88,11573,23.84765663477,0
"191",88,18653,22.1600462704984,0
"192",91,664,46.2044709407215,0.613
